file_name,uni,wylie,url,dept,grade,char_len,audio_len,path,inf
STT_CS-D-2017-P-D-B01-1-R-04_0094_790602_to_798162,ཚང་མ་ཁོང་ཚོ་ལ་བལྟ་བསྡད་ཀི་ཡོད་རེད་ད། བཀྲ་ཤིས་བདེ་ལེགས་ལབ་ཀི་ཡོད་རེད་ད། མཐའ་མ་ལ་སྒྲུང་བཤད་དགོ། སྒྲུང་བཤད་དགོ། ཨ་ནས་ཁོ་ཡེསྀ་ལབ་ནས་སྐྱིད་ཤང་བྱས་ནས་བསྡད་ཀི་རེད་ད།  ,tshang ma khong tsho la blta bsdad ki yod red da/_bkra shis bde legs lab ki yod red da/_mtha' ma la sgrung bshad dgo/_sgrung bshad dgo/_a nas kho yes-i lab nas skyid shang byas nas bsdad ki red da/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_CS-D-2017-P-D-B01-1-R-04_0094_790602_to_798162.wav,STT_CS,3,160,7.56,wav16k/STT_CS-D-2017-P-D-B01-1-R-04_0094_790602_to_798162.wav,ཚང་མ་བུ་དི་ལྟ་བསྡད་ཀི་ཡོད་རེད་ད། བཀྲ་ཤིས་བདེ་ལབ་ཀྱི་ཡོད་རེད་ད། ད་ང་ཚོ་སྒྲུང་བཤད་དགོས། སྒྲུང་བཤད་དགོས། ཨེ་ནས་ཁོ་ཡ་ཨེྥ་ལབ་ནས་སྐྱིད་ཤང་བྱེད་ནས་བསྡད་གི་ཡོད་རེད།
STT_CS-D-2017-P-D-B01-1-R-04_0095_812067_to_821548,སེམས་ཅན། སྔན་མ་སྔན་མ་སེམས་ཅན་དེ་འདྲ་མང་པོ། མང་པོ་ཡོད་རེད། མང་པོ་ཡོད་རེད་ད། འོ་དེ་གིས། འོ་དེ་གིས། སྤེའུ་གཅིག་གིས། སྤེའུ་གཅིག་གིས།  ,sems can/_sngan ma sngan ma sems can de 'dra mang po/_mang po yod red/_mang po yod red da/_'o de gis/_'o de gis/_spe'u gcig gis/_spe'u gcig gis/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_CS-D-2017-P-D-B01-1-R-04_0095_812067_to_821548.wav,STT_CS,3,130,9.481,wav16k/STT_CS-D-2017-P-D-B01-1-R-04_0095_812067_to_821548.wav,སེམས་ཅན། སྔོན་མ་སྔོན་མ་སེམས་ཅན་དེ་འདྲའི་མང་པོ་མང་པོ་ཡོད་རེད་ད། མང་པོ་ཡོད་རེད་ད། འོ་དེས། འོ་དེ་སྤྲེའུ་གཅིག་གིས སྤྲེའུ་གཅིག་གིས།
STT_CS-D-2017-P-D-B01-1-R-04_0096_821548_to_831029,ཟིམ་པ་རེད། སེམས་ཅན་དེ་འདྲ་ཡོད་བ། སེམས་ཅན་གཅིག་ཁ་ཀ་ཅི་པུ་གུ་ལ་ཡར་འཁྱེར་ཡོང་སོང་ད། སེམས་ཅན་ཚང་མ་མར་བསྡད་སོང་ད།  ,zim pa red/_sems can de 'dra yod ba/_sems can gcig kha ka ci pu gu la yar 'khyer yong song da/_sems can tshang ma mar bsdad song da/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_CS-D-2017-P-D-B01-1-R-04_0096_821548_to_831029.wav,STT_CS,3,110,9.481,wav16k/STT_CS-D-2017-P-D-B01-1-R-04_0096_821548_to_831029.wav,དདེ་སེམས་ཅན་དེ་འདྲའི་ཡོད་བ། སེམས་ཅན་གཅིག་ཀ་ཅི་དེ་པུ་གུ་ལ་ཡར་རྒྱ་ཡོང་སོང་ད། སེམས་ཅན་ཚང་མ་མར་བསྡད་སོང་ད།
STT_CS-D-2017-P-D-B01-1-R-04_0127_1094803_to_1103869,པ་ལགས་དེ་ཤི་སོང་དང་རཱ། སྤོ་པོ་དེ། སྤོ་པོ་དེ་གིས་རྫུན་མ་ན་ཊཀ་བྱས་ནས་ངུ་བསྡད་དགོ་རེད་ད། རྫུན་མ་རྫུན་མ་ན་ཊཀ་བྱས་ནས།  ,pa lags de shi song dang rA/_spo po de/_spo po de gis rdzun ma na Taka byas nas ngu bsdad dgo red da/_rdzun ma rdzun ma na Taka byas nas/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_CS-D-2017-P-D-B01-1-R-04_0127_1094803_to_1103869.wav,STT_CS,3,114,9.066,wav16k/STT_CS-D-2017-P-D-B01-1-R-04_0127_1094803_to_1103869.wav,པ་ལགས་དེ་ཤི་སོང་ད། སྤོ་པོ་དེ་ག། སྤོ་པོ་དེ་ག་རྫུན་མ་ན་ཊ་བྱས་ནས་ངུ་བསྡད་ཀི་ཡོད་རེད་ད། རྫུན་མ་རྫུན་མ་ན་ཊ་བྱས་ནས།
STT_CS-D-2017-P-D-B01-1-R-04_0128_1105152_to_1114752,ཨ་ནས་སྤྱང་ཀི་རྒྱབ་ལོགས། སྤྱང་ཀི་ཡོད་རེད་བ། སྤྱང་ཀི། སྤྱང་ཀི་ཕར་ཕྱོགས་པར་ལ་བལྟ་བསྡད་གི་ཡོད་རེད་ད། མཚན་ལ་སྤྱང་ཀི་དེ་ཚོ་ཡོད་བ་སེམས་པ་སྐྱོ་ནས།  ,a nas spyang ki rgyab logs/_spyang ki yod red ba/_spyang ki/_spyang ki phar phyogs par la blta bsdad gi yod red da/_mtshan la spyang ki de tsho yod ba sems pa skyo nas/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_CS-D-2017-P-D-B01-1-R-04_0128_1105152_to_1114752.wav,STT_CS,3,140,9.6,wav16k/STT_CS-D-2017-P-D-B01-1-R-04_0128_1105152_to_1114752.wav,ཨ་ནས་སྤྱང་ཀི་རྒྱབ། སྤྱང་ཀི་ཡོད་རཱ། སྤྱང སྤྱང་ཀི་ཕར་ཕྱོགས་ལ་པར་ལ་བལྟ་བསྡད་ཀི་ཡོད་རེད་ད། འོ་དེ་སམ་ལ་སྤྱང་ཀི་དེ་ཚོ་ཡོད་བ། སེམས་པ་སྐྱོ་ནས།
STT_CS-D-2017-P-D-B01-1-R-04_0129_1114752_to_1124353,དཀྱི་ལ་མ་ལ་བསྡད་དུས་ཙམ་པ་ལ་སྤྱང་ཀི་དེ་ཚོ་ལ་འབུད་རྒྱག་བཏང་སོང་ད། འོག་ལ་ཚེར་མ་དེ་ཚོ་ཤིང་ཡོད་བ། ཚེར་མ་ཤིང་ཡོད་བ། ཚང་མ་ལ་འོག་བཏང་།  ,dkyi la ma la bsdad dus tsam pa la spyang ki de tsho la 'bud rgyag btang song da/_'og la tsher ma de tsho shing yod ba/_tsher ma shing yod ba/_tshang ma la 'og btang /__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_CS-D-2017-P-D-B01-1-R-04_0129_1114752_to_1124353.wav,STT_CS,3,128,9.601,wav16k/STT_CS-D-2017-P-D-B01-1-R-04_0129_1114752_to_1124353.wav,དཀྱིལ་མ་ལ་བསྡད་བསྡད་དུས་སམ་ལ་སྤྱང་ཀི་དེ་ཚོ་འབུད་རྒྱག་བཏང་སོང་ད། འོགལ་ཚར་མ་དེ་ཚོ་ཤེས་ཀི་ཡོད་བ། ཚར་མ་ཤེས་ཀི་ཡོད་བ། འོ་དེ་ཚང་མ་ལ་འོག་བཏང་།
STT_CS-D-2017-P-D-B01-1-R-04_0130_1124353_to_1133953,བཏང་། པུ་གུ་དེ་ཤི། པུ་གུ་དེ་ཤི། པུ་གུ་དེ། པུ་གུ་དེ་ཡོད་བ། ཤི། ཏིས་སི་སྒུགས་ཨ། པུ་གུ་དེ།  ,btang /_pu gu de shi/_pu gu de shi/_pu gu de/_pu gu de yod ba/_shi/_tis si sgugs a/_pu gu de/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_CS-D-2017-P-D-B01-1-R-04_0130_1124353_to_1133953.wav,STT_CS,3,89,9.6,wav16k/STT_CS-D-2017-P-D-B01-1-R-04_0130_1124353_to_1133953.wav,དང་པུ་གུ་དེ་ཤི། པུ་གུ་དེ་ཤི། པུ་གུ་དེ་པུ་གུ་དེ་ཡོད་བ།  ཏིག་ཙི་སྒུག་ཨ། པུ་གུ་དེ།
STT_TT00096_2242.950-2244.550,སངས་རྒྱས་ཆོས་དང་ཚོགས་མཆོག་ལ།  ,sangs rgyas chos dang tshogs mchog la/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00096_2242.950-2244.550.wav,STT_TT,3,30,1.6000000000003638,wav16k/STT_TT00096_2242.950-2244.550.wav,སངས་རྒྱས་ཆོས་དང་ཚོགས་མཆོག་ལ།
STT_TT00096_2474.200-2475.900,ཨ། རྣམ་མཁྱེན་དོན་གཉེར་གི་བློ་དེ།  ,a/_rnam mkhyen don gnyer gi blo de/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00096_2474.200-2475.900.wav,STT_TT,3,34,1.7000000000002728,wav16k/STT_TT00096_2474.200-2475.900.wav,ཨེ་ རྣམ་མཁྱེན་དོན་གཉེར་གི་བློ་དེ།
STT_TT00096_2495.650-2496.850,ཆོས་གང་དང་གང་ཡིན་ན་ཡང་།  ,chos gang dang gang yin na yang /__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00096_2495.650-2496.850.wav,STT_TT,3,25,1.199999999999818,wav16k/STT_TT00096_2495.650-2496.850.wav,ཆོས་གང་དང་གང་ཡིན་ན་ཡང་།
